Symbol,Company,SEC filings,GICS?Sector,Location of Headquarters
GLW,Corning Inc.,reports,Industrials,"Corning, New York"
COST,Costco Co.,reports,Consumer Staples,"Issaquah, Washington"
CVH,Coventry Health Care Inc.,reports,Health Care,"Bethesda, Maryland"
COV,Covidien plc,reports,Health Care,"Dublin, Ireland"
CSX,CSX Corp.,reports,Industrials,"Jacksonville, Florida"
CMI,Cummins Inc.,reports,Industrials,"Columbus, Indiana"
CVS,CVS Caremark Corp.,reports,Consumer Staples,"Woonsocket, Rhode Island"
DHI,D. R. Horton,reports,Consumer Discretionary,"Fort Worth, Texas"
DHR,Danaher Corp.,reports,Industrials,Washington D.C
DRI,Darden Restaurants,reports,Consumer Discretionary,"Orlando, Florida"
DVA,DaVita Inc.,reports,Health Care,"Denver, Colorado"
DF,Dean Foods,reports,Consumer Staples,"Dallas, Texas"
DE,Deere & Co.,reports,Industrials,"Moline, Illinois"
DELL,Dell Inc.,reports,Information Technology,"Round Rock, Texas"
DNR,Denbury Resources Inc.,reports,Energy,"Plano, Texas[3]"
XRAY,Dentsply International,reports,Health Care,"York, Pennsylvania"
DVN,Devon Energy Corp.,reports,Energy,"Oklahoma City, Oklahoma"
DV,"DeVry, Inc.",reports,Consumer Discretionary,"Downers Grove, Illinois"
DO,Diamond Offshore Drilling,reports,Energy,"Houston, Texas"
DTV,DirecTV,reports,Consumer Discretionary,"El Segundo, California"
DFS,Discover Financial Services,reports,Financials,"Riverwoods, Illinois"
DISCA,Discovery Communications,reports,Consumer Discretionary,"Silver Spring, Maryland"
DLTR,Dollar Tree,reports,Consumer Discretionary,"Chesapeake, Virginia"
D,Dominion Resources,reports,Utilities,"Richmond, Virginia"
RRD,Donnelley (R.R.) & Sons,reports,Industrials,"Chicago, Illinois"
DOV,Dover Corp.,reports,Industrials,"Downers Grove, Illinois"
DOW,Dow Chemical,reports,Materials,"Midland, Michigan"
DPS,Dr Pepper Snapple Group,reports,Consumer Staples,"Plano, Texas"
DTE,DTE Energy Co.,reports,Utilities,"Detroit, Michigan"
DD,Du Pont (E.I.),reports,Materials,"Wilmington, Delaware"
DUK,Duke Energy,reports,Utilities,"Charlotte, North Carolina"
DNB,Dun & Bradstreet,reports,Industrials,"Short Hills, New Jersey"
ETFC,E-Trade,reports,Financials,"New York, New York"
EMN,Eastman Chemical,reports,Materials,"Kingsport, Tennessee"
ETN,Eaton Corp.,reports,Industrials,"Cleveland, Ohio"
EBAY,eBay Inc.,reports,Information Technology,"San Jose, California"
ECL,Ecolab Inc.,reports,Materials,"St. Paul, Minnesota"
EIX,Edison Int'l,reports,Utilities,"Rosemead, California"
EW,Edwards Lifesciences,reports,Health Care,"Irvine, California"
EP,El Paso Corp.,reports,Energy,"Houston, Texas"
EA,Electronic Arts,reports,Information Technology,"Redwood City, California"
EMC,EMC Corp.,reports,Information Technology,"Hopkinton, Massachusetts"
EMR,Emerson Electric,reports,Industrials,"Ferguson, Missouri"
ETR,Entergy Corp.,reports,Utilities,"New Orleans, Louisiana"
EOG,EOG Resources,reports,Energy,"Houston, Texas"
EQT,EQT Corporation,reports,Utilities,"Pittsburgh, Pennsylvania"
EFX,Equifax Inc.,reports,Financials,"Atlanta, Georgia"
EQR,Equity Residential,reports,Financials,"Chicago, Illinois"
EL,Estee Lauder Cos.,reports,Consumer Staples,"New York, New York"
EXC,Exelon Corp.,reports,Utilities,"Chicago, Illinois"
EXPE,Expedia Inc.,reports,Consumer Discretionary,"Bellevue, Washington"
EXPD,Expeditors Int'l,reports,Industrials,"Seattle, Washington"
ESRX,Express Scripts,reports,Health Care,"Cool Valley, Missouri"
XOM,Exxon Mobil Corp.,reports,Energy,"Irving, Texas"
FFIV,F5 Networks,reports,Information Technology,"Seattle, Washington"
FDO,Family Dollar Stores,reports,Consumer Discretionary,"Matthews, North Carolina"
FAST,Fastenal Co,reports,Industrials,"Winona, Minnesota"
FII,Federated Investors Inc.,reports,Financials,"Pittsburgh, Pennsylvania"
FDX,FedEx Corporation,reports,Industrials,"Memphis, Tennessee"
FIS,Fidelity National Information Services,reports,Information Technology,"Jacksonville, Florida"
FITB,Fifth Third Bancorp,reports,Financials,"Cincinnati, Ohio"
FHN,First Horizon National,reports,Financials,"Memphis, Tennessee"
FSLR,First Solar Inc,reports,Industrials,"Tempe, Arizona"
FE,FirstEnergy Corp,reports,Utilities,"Akron, Ohio"
FISV,Fiserv Inc,reports,Information Technology,"Brookfield, Wisconsin"
FLIR,FLIR Systems,reports,Information Technology,"Wilsonville, Oregon"
FLS,Flowserve Corporation,reports,Industrials,"Irving, Texas"
FLR,Fluor Corp.,reports,Industrials,"Irving, Texas"
FMC,FMC Corporation,reports,Materials,"Philadelphia, Pennsylvania"
FTI,FMC Technologies Inc.,reports,Energy,"Houston, Texas"
F,Ford Motor,reports,Consumer Discretionary,"Dearborn, Michigan"
FRX,Forest Laboratories,reports,Health Care,"New York, New York"
BEAM,Beam Inc.,reports,Consumer Discretionary,"Deerfield, Illinois"
BEN,Franklin Resources,reports,Financials,"San Mateo, California"
FCX,Freeport-McMoran Cp & Gld,reports,Materials,"Phoenix, Arizona"
FTR,Frontier Communications,reports,Telecommunications Services,"Stamford, Connecticut"
GME,GameStop Corp.,reports,Consumer Discretionary,"Grapevine, Texas"
GCI,Gannett Co.,reports,Consumer Discretionary,"McLean, Virginia"
GPS,Gap (The),reports,Consumer Discretionary,"San Francisco, California"
GD,General Dynamics,reports,Industrials,"Falls Church, Virginia"
GE,General Electric,reports,Industrials,"Fairfield, Connecticut"
GIS,General Mills,reports,Consumer Staples,"Golden Valley, Minnesota"
GPC,Genuine Parts,reports,Consumer Discretionary,"Atlanta, Georgia"
GNW,Genworth Financial Inc.,reports,Financials,"Richmond, Virginia"
GILD,Gilead Sciences,reports,Health Care,"Foster City, California"
GS,Goldman Sachs Group,reports,Financials,"New York, New York"
GR,Goodrich Corporation,reports,Industrials,"Charlotte, North Carolina"
GT,Goodyear Tire & Rubber,reports,Consumer Discretionary,"Akron, Ohio"
GOOG,Google Inc.,reports,Information Technology,"Mountain View, California"
GWW,Grainger (W.W.) Inc.,reports,Industrials,"Lake Forest, Illinois"
HAL,Halliburton Co.,reports,Energy,"Houston, Texas"
HOG,Harley-Davidson,reports,Consumer Discretionary,"Milwaukee, Wisconsin"
HAR,Harman Int'l Industries,reports,Consumer Discretionary,"Stamford, Connecticut"
HRS,Harris Corporation,reports,Information Technology,"Melbourne, Florida"
HIG,Hartford Financial Svc.Gp.,reports,Financials,"Hartford, Connecticut"
HAS,Hasbro Inc.,reports,Consumer Discretionary,"Pawtucket, Rhode Island"
HCP,HCP Inc.,reports,Financials,"Long Beach, California"
HCN,Health Care REIT,reports,Financials,"Toledo, Ohio[4]"
HNZ,Heinz (H.J.),reports,Consumer Staples,"Pittsburgh, Pennsylvania"
HP,Helmerich & Payne,reports,Energy,"Tulsa, Oklahoma[5]"
HES,Hess Corporation,reports,Energy,"New York, New York"
HPQ,Hewlett-Packard,reports,Information Technology,"Palo Alto, California"
HD,Home Depot,reports,Consumer Discretionary,"Cobb County, Georgia"
HON,Honeywell Int'l Inc.,reports,Industrials,"Morristown, New Jersey"
HRL,Hormel Foods Corp.,reports,Consumer Staples,"Austin, Minnesota"
HSP,Hospira Inc.,reports,Health Care,"Lake Forest, Illinois"
HST,Host Hotels & Resorts,reports,Financials,"Bethesda, Maryland"
HCBK,Hudson City Bancorp,reports,Financials,"Paramus, New Jersey"
HUM,Humana Inc.,reports,Health Care,"Louisville, Kentucky"
HBAN,Huntington Bancshares,reports,Financials,"Columbus, Ohio"
ITW,Illinois Tool Works,reports,Industrials,"Glenview, Illinois"
TEG,Integrys Energy Group Inc.,reports,Utilities,"Chicago, Illinois"
INTC,Intel Corp.,reports,Information Technology,"Santa Clara, California"
ICE,IntercontinentalExchange Inc.,reports,Financials,"Atlanta, Georgia"
IBM,International Bus. Machines,reports,Information Technology,"Armonk, New York"
IFF,International Flav/Frag,reports,Materials,"New York, New York"
IGT,International Game Technology,reports,Consumer Discretionary,"Reno, Nevada"
IP,International Paper,reports,Materials,"Memphis, Tennessee"
IPG,Interpublic Group,reports,Consumer Discretionary,"New York, New York"
INTU,Intuit Inc.,reports,Information Technology,"Mountain View, California"
ISRG,Intuitive Surgical Inc.,reports,Health Care,"Sunnyvale, California"
IVZ,Invesco Ltd.,reports,Financials,"Atlanta, Georgia"
IRM,Iron Mountain Incorporated,reports,Industrials,"Boston, Massachusetts"
XYL,Xylem Inc.,reports,Industrials,"White Plains, New York"
JBL,Jabil Circuit,reports,Information Technology,"St. Petersburg, Florida"
JEC,Jacobs Engineering Group,reports,Industrials,"Pasadena, California"
CBE,Cooper Industries,reports,Industrials,"Houston, Texas"
JDSU,JDS Uniphase Corp.,reports,Information Technology,"Milpitas, California"
JNJ,Johnson & Johnson,reports,Health Care,"New Brunswick, New Jersey"
JCI,Johnson Controls,reports,Consumer Discretionary,"Milwaukee, Wisconsin"
JOY,Joy Global Inc.,reports,Industrials,"Milwaukee, Wisconsin"
JPM,JPMorgan Chase & Co.,reports,Financials,"New York, New York"
JNPR,Juniper Networks,reports,Information Technology,"Sunnyvale, California"
K,Kellogg Co.,reports,Consumer Staples,"Battle Creek, Michigan"
KEY,KeyCorp,reports,Financials,"Cleveland, Ohio"
KMB,Kimberly-Clark,reports,Consumer Staples,"Irving, Texas"
KIM,Kimco Realty,reports,Financials,"New Hyde Park, New York"
KLAC,KLA-Tencor Corp.,reports,Information Technology,"Milpitas, California"
KSS,Kohl's Corp.,reports,Consumer Discretionary,"Menomonee Falls, Wisconsin"
KFT,Kraft Foods Inc-A,reports,Consumer Staples,"Northfield, Illinois"
KR,Kroger Co.,reports,Consumer Staples,"Cincinnati, Ohio"
LLL,L-3 Communications Holdings,reports,Industrials,"New York, New York"
LH,Laboratory Corp. of America Holding,reports,Health Care,"Burlington, North Carolina"
LM,Legg Mason,reports,Financials,"Baltimore, Maryland"
LEG,Leggett & Platt,reports,Consumer Discretionary,"Carthage, Missouri"
LEN,Lennar Corp.,reports,Consumer Discretionary,"Miami, Florida"
LUK,Leucadia National Corp.,reports,Financials,"New York, New York"
LXK,Lexmark Int'l Inc,reports,Information Technology,"Lexington, Kentucky"
LIFE,Life Technologies,reports,Health Care,"Carlsbad, California"
LLY,Lilly (Eli) & Co.,reports,Health Care,"Indianapolis, Indiana"
LTD,Limited Brands Inc.,reports,Consumer Discretionary,"Columbus, Ohio"
LNC,Lincoln National,reports,Financials,"Radnor, Pennsylvania"
LLTC,Linear Technology Corp.,reports,Information Technology,"Milpitas, California"
LMT,Lockheed Martin Corp.,reports,Industrials,"Bethesda, Maryland"
L,Loews Corp.,reports,Financials,"New York, New York"
LO,Lorillard Inc.,reports,Consumer Staples,"Greensboro, North Carolina"
LOW,Lowe's Cos.,reports,Consumer Discretionary,"North Wilkesboro, North Carolina"
LSI,LSI Corporation,reports,Information Technology,"Milpitas, California"
MTB,M&T Bank Corp.,reports,Financials,"Buffalo, New York"
M,Macy's Inc.,reports,Consumer Discretionary,"Cincinnati, Ohio"
MRO,Marathon Oil Corp.,reports,Energy,"Houston, Texas"
MPC,Marathon Petroleum,reports,Energy,"Findlay, Ohio"
MAR,Marriott Int'l.,reports,Consumer Discretionary,"Bethesda, Maryland"
MMC,Marsh & McLennan,reports,Financials,"New York, New York"
MAS,Masco Corp.,reports,Industrials,"Taylor, Michigan"
ANR,Alpha Natural Resources,reports,Energy,"Abingdon, Virginia"
MA,Mastercard Inc.,reports,Information Technology,"Harrison, New York"
MAT,Mattel Inc.,reports,Consumer Discretionary,"El Segundo, California"
MKC,McCormick & Co.,reports,Consumer Staples,"Sparks, Maryland"
MCD,McDonald's Corp.,reports,Consumer Discretionary,"Oak Brook, Illinois"
MHP,McGraw-Hill,reports,Consumer Discretionary,"New York, New York"
MCK,McKesson Corp.,reports,Health Care,"San Francisco, California"
MJN,Mead Johnson,reports,Consumer Staples,"Glenview, Illinois"
MWV,MeadWestvaco Corporation,reports,Materials,"Richmond, Virginia"
MHS,Medco Health Solutions Inc.,reports,Health Care,"Franklin Lakes, New Jersey"
MDT,Medtronic Inc.,reports,Health Care,"Fridley, Minnesota"
MRK,Merck & Co.,reports,Health Care,"Whitehouse Station, New Jersey"
MET,MetLife Inc.,reports,Financials,"New York, New York"
PCS,MetroPCS Communications Inc.,reports,Telecommunications Services,"Richardson, Texas"
MCHP,Microchip Technology,reports,Information Technology,"Chandler, Arizona"
MU,Micron Technology,reports,Information Technology,"Boise, Idaho"
MSFT,Microsoft Corp.,reports,Information Technology,"Redmond, Washington"
MOLX,Molex Inc.,reports,Information Technology,"Lisle, Illinois"
TAP,Molson Coors Brewing Company,reports,Consumer Staples,"Denver, Colorado"
MON,Monsanto Co.,reports,Materials,"Creve Coeur, Missouri"
MCO,Moody's Corp,reports,Financials,"New York, New York"
MS,Morgan Stanley,reports,Financials,"New York, New York"
MOS,The Mosaic Company,reports,Materials,"Plymouth, Minnesota"
MMI,Motorola Mobility Holdings Inc.,reports,Information Technology,"Libertyville, Illinois"
MSI,Motorola Solutions Inc.,reports,Information Technology,"Schaumburg, Illinois"
MUR,Murphy Oil,reports,Energy,"El Dorado, Arkansas"
MYL,Mylan Inc.,reports,Health Care,"Canonsburg, Pennsylvania"
NBR,Nabors Industries Ltd.,reports,Energy,"Hamilton, Bermuda"
NDAQ,NASDAQ OMX Group,reports,Financials,"New York, New York"
NOV,National Oilwell Varco Inc.,reports,Energy,"Houston, Texas"
NTAP,NetApp,reports,Information Technology,"Sunnyvale, California"
NFLX,NetFlix Inc.,reports,Information Technology,"Los Gatos, California"
NWL,Newell Rubbermaid Co.,reports,Consumer Discretionary,"Sandy Springs, Georgia"
NFX,Newfield Exploration Co,reports,Energy,"Houston, Texas"
NEM,Newmont Mining Corp. (Hldg. Co.),reports,Materials,"Denver, Colorado"
NWSA,News Corporation,reports,Consumer Discretionary,"New York, New York"
NEE,NextEra Energy Resources,reports,Utilities,"Juno Beach, Florida"
NKE,NIKE Inc.,reports,Consumer Discretionary,"Washington County, Oregon"
NI,NiSource Inc.,reports,Utilities,"Merrillville, Indiana"
NE,Noble Corp,reports,Energy,"Geneva, Switzerland"
NBL,Noble Energy Inc,reports,Energy,"Houston, Texas"
JWN,Nordstrom,reports,Consumer Discretionary,"Seattle, Washington"
NSC,Norfolk Southern Corp.,reports,Industrials,"Norfolk, Virginia"
NTRS,Northern Trust Corp.,reports,Financials,"Chicago, Illinois"
